YEAR,SITE,SUBSITE,Unique_Site,CaMPClass1,CaMPClass2,NUTRIENTS_UNCODED_V2,NUTRIENTS_UNCODED_V3,PRIM_CLASS,PRIM_FORM,SEC_CLASS_1,SEC_CLASS_2,SEC_CLASS_3,PERMAFROST,PROV,LATN,Mins,LAT_deg,LAT_Min_round,LONGW,Mins,LONG_deg,LONG_Min_round,ECPROV_UNCODED,ECREGION_UNCODED,WETREGION_UNCODED,PEATDEPTH,IS_PEATDEPTH_EXTENDED,PFUPPER,PFLOWER,IS_PFLOWER_EXTENDED,WTDEPTH,WETTYPE,WETTYPE_UNCODED,NOTES
1970,19,,1970-19,#N/A,#N/A,Very poor bog,Oligotrophic ,Bog,Peat plateau,Treed (coniferous),Mound,Not determined,#N/A,Manitoba,54.63,37.8,54,38,101.38,22.8,101,23,Boreal,Subhumid High Boreal ,Continental High Boreal,475,N,61,328,N,N/D,1,Bog,bS-Ledum
1970,2,,1970-2,#N/A,#N/A,Very poor bog,Oligotrophic ,Bog,Peat plateau,Treed (coniferous),Mound,Not determined,#N/A,Saskatchewan,54.87,52.2,54,52,102.08,4.8,102,5,Boreal,Subhumid High Boreal ,Continental High Boreal,178,N,43,81,N,N/D,1,Bog,bS-Ledum
1970,20,,1970-20,#N/A,#N/A,Very poor bog,Oligotrophic ,Bog,Peat plateau,Open or treeless,Not determined,Not determined,#N/A,Manitoba,54.7,42,54,42,101.78,46.8,101,47,Boreal,Subhumid High Boreal ,Continental High Boreal,206,N,51,140,N,N/D,1,Bog,bS-Ledum
1970,21,,1970-21,#N/A,#N/A,Very poor bog,Oligotrophic ,Bog,Palsa,Treed (coniferous),Mound,Not determined,#N/A,Manitoba,54.43,25.8,54,26,101.38,22.8,101,23,Boreal,Subhumid Mid-Boreal,Continental High Boreal,196,N,83,498,N,N/D,1,Bog,bS-featherm
1970,22,,1970-22,#N/A,#N/A,Poor fen ,Dystrophic,Bog,Peat plateau,Treed (coniferous),Not determined,Not determined,#N/A,Manitoba,54.27,16.2,54,16,101.4,24,101,24,Boreal,Subhumid Mid-Boreal,Continental High Boreal,86,N,51,58,N,N/D,1,Bog,PF also at 76-79 cm; bS
1970,23,,1970-23,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Bog,Palsa,Treed (coniferous),Mound,Not determined,#N/A,Manitoba,54.42,25.2,54,25,101.37,22.2,101,22,Boreal,Subhumid High Boreal ,Continental High Boreal,188,N,50,319,N,N/D,1,Bog,bS-featherm
1970,24,,1970-24,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Bog,Palsa,Treed (coniferous),Mound,Not determined,#N/A,Manitoba,54.45,27,54,27,101.25,15,101,15,Boreal,Subhumid High Boreal ,Continental High Boreal,84,N,51,217,N,N/D,1,Bog,bS-featherm
1970,25,,1970-25,#N/A,#N/A,Poor fen ,Dystrophic,Bog,Palsa,Treed (coniferous),Mound,Not determined,#N/A,Manitoba,54.52,31.2,54,31,99.53,31.8,99,32,Boreal,Subhumid High Boreal ,Continental High Boreal,182,N,45,222,N,N/D,1,Bog,bS-feathermoss
1970,26,,1970-26,#N/A,#N/A,Poor fen ,Dystrophic,Bog,Palsa,Treed (coniferous),Mound,Not determined,#N/A,Manitoba,54.62,37.2,54,37,99.37,4.2,99,4,Boreal,Subhumid High Boreal ,Continental High Boreal,155,N,71,534,Y,N/D,1,Bog,bS-Lichen
1970,27,,1970-27,#N/A,#N/A,Poor fen ,Dystrophic,Bog,Peat plateau,Treed (coniferous),Mound,Not determined,#N/A,Manitoba,55.5,30,55,30,98.12,22.2,98,22,Boreal,Subhumid High Boreal ,Continental High Boreal,546,N,70,490,N,N/D,1,Bog,bs-Lichen
1970,28,,1970-28,#N/A,#N/A,Poor fen ,Dystrophic,Bog,Palsa,Mound,Not determined,Not determined,#N/A,Manitoba,55.4,24,55,24,98.28,16.8,98,17,Boreal,Subhumid High Boreal ,Continental High Boreal,249,N,78,407,Y,N/D,1,Bog,burned
1970,29,,1970-29,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Bog,Peat plateau,Treed (coniferous),Not determined,Not determined,#N/A,Manitoba,54.6,36,54,36,100.83,49.8,100,50,Boreal,Subhumid High Boreal ,Continental High Boreal,229,N,43,127,N,N/D,1,Bog,bS-Ledum
1970,3,,1970-3,#N/A,#N/A,Very poor bog,Oligotrophic ,Bog,Peat plateau,Treed (coniferous),Mound,Not determined,#N/A,Saskatchewan,54.87,52.2,54,52,102.08,4.8,102,5,Boreal,Subhumid High Boreal ,Continental High Boreal,218,N,38,152,N,N/D,1,Bog,bS-Ledum
1970,30,,1970-30,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Bog,Peat plateau,Treed (coniferous),Mound,Not determined,#N/A,Manitoba,54.6,36,54,36,100.82,49.2,100,49,Boreal,Subhumid High Boreal ,Continental High Boreal,277,N,63,521,N,N/D,1,Bog,bS-featherm
1970,31,,1970-31,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Bog,Peat plateau,Treed (coniferous),Mound,Not determined,#N/A,Manitoba,54.57,34.2,54,34,101.37,22.2,101,22,Boreal,Subhumid High Boreal ,Continental High Boreal,277,N,45,247,N,N/D,1,Bog,bS-featherm
1970,32,,1970-32,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Bog,Peat plateau,Open or treeless,Mound,Not determined,#N/A,Manitoba,54.63,37.8,54,38,101.58,34.8,101,35,Boreal,Subhumid High Boreal ,Continental High Boreal,432,Y,94,432,N,N/D,1,Bog,bS-Ledum
1970,4,,1970-4,#N/A,#N/A,Poor fen ,Dystrophic,Bog,Peat plateau,Treed (coniferous),Not determined,Not determined,#N/A,Saskatchewan,54.95,57,54,57,102.73,43.8,102,44,Boreal,Subhumid High Boreal ,Continental High Boreal,71,N,47,71,N,N/D,1,Bog,bS-Ledum
1970,5,,1970-5,#N/A,#N/A,Poor fen ,Dystrophic,Bog,Peat plateau,Treed (coniferous),Mound,Not determined,#N/A,Saskatchewan,55.12,7.2,55,7,102.87,52.2,102,52,Boreal,Subhumid High Boreal ,Continental High Boreal,292,N,48,193,N,N/D,1,Bog,bS-Ledum
1970,6,,1970-6,#N/A,#N/A,Poor fen ,Dystrophic,Bog,Palsa,Treed (coniferous),Mound,Not determined,#N/A,Saskatchewan,55.13,7.8,55,8,102.87,52.2,102,52,Boreal,Subhumid High Boreal ,Continental High Boreal,351,N,60,386,Y,N/D,1,Bog,bS-featherm
1970,7,,1970-7,#N/A,#N/A,Poor fen ,Dystrophic,Bog,Palsa,Treed (coniferous),Mound,Not determined,#N/A,Saskatchewan,55.2,12,55,12,102.92,55.2,102,55,Boreal,Subhumid High Boreal ,Continental High Boreal,259,N,61,364,Y,N/D,1,Bog,bS-featherm
1970,8,,1970-8,#N/A,#N/A,Poor fen ,Dystrophic,Bog,Peat plateau,Treed (coniferous),Mound,Not determined,#N/A,Saskatchewan,54.72,43.2,54,43,102,0,102,0,Boreal,Subhumid High Boreal ,Continental High Boreal,511,N,43,269,N,N/D,1,Bog,bS-featherm
