			UNIQUE_SIT						MaxDepth			CaMPClass1	CaMPClass2	lat	long	field_18	ZONE	AREA(SQR_K	REF	ECOZONE
			1983-17						289											
			1983-18						84											
			1983-19-A						259											
			1983-19-A						137											
			1983-19-B						227											
			1983-19-B						227											
			1983-2-A						196											
			1983-2-B						174											
			1983-20						115											
			1983-20						120											
			1983-21						195											
			1983-21						210											
			1983-22-A						295											
			1983-22-B						298											
			1983-23-A						214											
			1983-23-B						142											
			1983-24						230											
			1983-24						252											
			1983-25						145											
			1983-26						269											
			1983-27-A						162											
			1983-27-B						130											
			1983-27-B						130											
			1983-28-A						336											
			1983-28-B						281											
			1983-28-C						252											
			1983-29						597											
			1983-3-A						160											
			1983-3-B						124											
			1983-3-B						124											
			1983-30						476											
			1983-30						476											
			1983-31-A						165											
			1983-31-A						165											
			1983-31-B						201											
			1983-32-A						125											
			1983-32-B						142											
			1983-32-B						142											
			1983-33-A						212											
			1983-33-B						174											
			1983-33-B						174											
			1983-34						134											
			1983-35						133											
			1983-36						271											
			1983-37						305											
			1983-38						256											
			1983-39						85											
			1983-4						227											
			1983-40-A						151											
			1983-40-B						130											
			1983-40-B						130											
			1983-41						130											
			1983-41						130											
			1983-42						174											
			1983-42						168											
			1983-43-A						126											
			1983-43-B						105											
			1983-43-B						105											
			1983-44-A						200											
			1983-44-B						144											
			1983-44-B						144											
			1983-45-A						172											
			1983-45-B						110											
			1983-45-B						110											
			1983-46						482											
			1983-46						482											
			1983-47						341											
			1983-47						341											
			1983-48						200											
			1983-49-A						183											
			1983-49-B						269											
			1983-49-B						269											
			1983-5-A						221											
			1983-5-B						222											
			1983-5-B						222											
			1983-5-C						155											
			1983-50						360											
			1983-50						68											
			1983-51						322											
			1983-52						662											
			1983-52						66											
			1983-53						358											
			1983-54						210											
			1983-54						210											
			1983-55						312											
			1983-56						289											
			1983-57						301											
			1983-58						292											
			1983-59						466											
			1983-6						52											
			1983-7						58											
			1983-8-A						254											
			1983-8-B						238											
			1983-8-B						238											
			1983-9						127											
			1984-1-A						301											
			1984-1-B						215											
			1984-1-B						134											
			1984-10						186											
			1984-10						186											
			1984-10						270											
			1984-11						384											
			1984-11						200											
			1984-12						383											
			1984-13						142											
			1984-14						409											
			1984-15						459											
			1984-16						196											
			1984-17						402											
			1984-18						342											
			1984-19						124											
			1984-19						124											
			1984-2						176											
			1984-20						386											
			1984-21						250											
			1984-21						264											
			1984-22-A						215											
			1984-22-A						205											
			1984-22-B						211											
			1984-23						195											
			1984-24						145											
			1984-25						170											
			1984-26-A						296											
			1984-26-B						242											
			1984-26-B						242											
