YEAR,SITE,SUBSITE,CONCAT,,CaMPTree,CaMPNutrient,CaMP_Class,,SAMPLE,UPPER,THICK,MIDDEPTH,DEPTHCLASS,LOGDEPTH,U_F,POSN,BD,T_ASH,OMD,VP,MATERIAL,PeatMin,PeatC_dens,CONTAMINAT,PH,ECOPROV,ECOREGION,WETREGION,PERMAFROST,MAT,,,forested bog,1,,,,
1981,29,,198129,2,forested,bog,forested bog,0,933,451,19,460.5,31,3.4339872045,U,2,0.141,55.2,0.0632,,8,Peat,0.0332,F,5.5,BO,MBs,BMc,N,0.9,,,treed bog,1,,,,
1981,29,,198129,2,forested,bog,forested bog,0,934,470,28,484,33,3.4965075615,U,2,0.149,63.3,0.0547,,8,Peat,0.0288,F,5.5,BO,MBs,BMc,N,0.9,,,treed bog,1,,,,
1981,29,,198129,2,forested,bog,forested bog,0,935,498,19,507.5,34,3.5263605246,U,2,0.146,54.7,0.0661,,8,Peat,0.0348,F,5.4,BO,MBs,BMc,N,0.9,,,treed bog,1,,,,
1981,32,,198132,3,forested,bog,forested bog,1,980,0,5,2.5,1,0,U,1,0.086,13.6,0.0743,1,3,Peat,0.0391,F,3.9,BO,MBs,BHc,N,0.7,,,treed bog,1,,,,
1981,32,,198132,3,forested,bog,forested bog,0,981,5,27,18.5,2,0.6931471806,U,1,0.053,7.3,0.0491,2,1,Peat,0.0258,F,4.7,BO,MBs,BHc,N,0.7,,,treed bog,1,,,,
1981,32,,198132,3,forested,bog,forested bog,0,982,32,14,39,3,1.0986122887,F,1,0.05,8.3,0.0459,2,2,Peat,0.0241,F,5,BO,MBs,BHc,N,0.7,,,treed bog,1,,,,
1981,32,,198132,3,forested,bog,forested bog,0,983,46,16,54,4,1.3862943611,U,1,0.055,8.5,0.0503,2,2,Peat,0.0265,F,5.4,BO,MBs,BHc,N,0.7,,,treed bog,1,,,,
1981,32,,198132,3,forested,bog,forested bog,0,984,62,10,67,5,1.6094379124,U,1,0.044,7.9,0.0405,2,2,Peat,0.0213,F,5.6,BO,MBs,BHc,N,0.7,,,treed bog,1,,,,
1981,32,,198132,3,forested,bog,forested bog,0,985,72,14,79,6,1.7917594692,U,2,0.063,11.7,0.0556,3,2,Peat,0.0292,F,5.3,BO,MBs,BHc,N,0.7,,,treed bog,1,,,,
1981,32,,198132,3,forested,bog,forested bog,0,986,86,16,94,7,1.9459101491,U,2,0.086,9.8,0.0776,2,2,Peat,0.0408,F,5.2,BO,MBs,BHc,N,0.7,,,treed bog,1,,,,
1981,32,,198132,3,forested,bog,forested bog,0,987,102,18,111,8,2.0794415417,U,2,0.094,10.5,0.0841,3,2,Peat,0.0442,F,5.3,BO,MBs,BHc,N,0.7,,,treed bog,1,,,,
1981,32,,198132,3,forested,bog,forested bog,0,988,120,15,127.5,9,2.1972245773,U,2,0.083,9.7,0.0749,2,2,Peat,0.0394,F,5.3,BO,MBs,BHc,N,0.7,,,treed bog,1,,,,
1981,32,,198132,3,forested,bog,forested bog,0,989,135,17,143.5,10,2.302585093,U,2,0.101,9.9,0.091,3,10,Peat,0.0478,F,5.3,BO,MBs,BHc,N,0.7,,,treed bog,1,,,,
1981,32,,198132,3,forested,bog,forested bog,0,990,152,14,159,11,2.3978952728,U,2,0.116,8.9,0.1057,2,6,Peat,0.0556,F,5.4,BO,MBs,BHc,N,0.7,,,treed bog,1,,,,
1981,32,,198132,3,forested,bog,forested bog,0,991,166,6,169,12,2.4849066498,U,2,0.107,9.9,0.0964,3,6,Peat,0.0507,F,5.3,BO,MBs,BHc,N,0.7,,,treed bog,1,,,,
1981,32,,198132,3,forested,bog,forested bog,0,992,172,22,183,13,2.5649493575,U,2,0.109,11.4,0.0966,5,6,Peat,0.0508,F,5.3,BO,MBs,BHc,N,0.7,,,treed bog,1,,,,
1981,32,,198132,3,forested,bog,forested bog,0,993,194,12,200,14,2.6390573296,U,2,0.128,13.2,0.1111,5,6,Peat,0.0584,F,5.3,BO,MBs,BHc,N,0.7,,,treed bog,1,,,,
1981,32,,198132,3,forested,bog,forested bog,0,994,206,14,213,15,2.7080502011,U,2,0.124,12.2,0.1089,5,6,Peat,0.0572,F,5.3,BO,MBs,BHc,N,0.7,,,treed bog,1,,,,
1981,32,,198132,3,forested,bog,forested bog,0,995,220,31,235.5,16,2.7725887222,U,2,0.128,11.9,0.1128,6,6,Peat,0.0593,F,5.1,BO,MBs,BHc,N,0.7,,,treed bog,1,,,,
1981,38,A,198138A,4,forested,bog,forested bog,1,1090,0,8,4,1,0,U,1,0.058,6.2,0.0544,1,3,Peat,0.0286,F,5.1,BO,MBs,BHc,N,-0.3,,,treed bog,1,,,,
1981,38,A,198138A,4,forested,bog,forested bog,0,1091,8,8,12,1,0,U,2,0.087,5.7,0.082,5,3,Peat,0.0431,F,4.7,BO,MBs,BHc,N,-0.3,,,treed bog,1,,,,
1981,38,A,198138A,4,forested,bog,forested bog,0,1092,16,8,20,2,0.6931471806,U,2,0.1,7.7,0.0923,5,3,Peat,0.0485,F,4.8,BO,MBs,BHc,N,-0.3,,,treed bog,1,,,,
1981,38,A,198138A,4,forested,bog,forested bog,0,1093,24,11,29.5,2,0.6931471806,F,2,0.1,8.9,0.0911,4,3,Peat,0.0479,F,5,BO,MBs,BHc,N,-0.3,,,treed bog,1,,,,
1981,38,A,198138A,4,forested,bog,forested bog,0,1094,35,24,47,4,1.3862943611,U,2,0.096,6.3,0.09,4,6,Peat,0.0473,F,5,BO,MBs,BHc,N,-0.3,,,treed bog,1,,,,
1981,38,A,198138A,4,forested,bog,forested bog,0,1095,59,18,68,5,1.6094379124,U,2,0.114,11.3,0.1011,5,10,Peat,0.0532,F,5,BO,MBs,BHc,N,-0.3,,,treed bog,1,,,,
1981,38,A,198138A,4,forested,bog,forested bog,0,1096,77,18,86,6,1.7917594692,U,2,0.088,6.6,0.0822,4,10,Peat,0.0432,F,5,BO,MBs,BHc,N,-0.3,,,treed bog,1,,,,
1981,38,A,198138A,4,forested,bog,forested bog,0,1097,95,12,101,7,1.9459101491,U,2,0.115,11,0.1024,5,6,Peat,0.0538,F,5,BO,MBs,BHc,N,-0.3,,,treed bog,1,,,,
1981,38,A,198138A,4,forested,bog,forested bog,0,1098,107,17,115.5,8,2.0794415417,U,2,0.072,7.9,0.0663,3,6,Peat,0.0349,F,5,BO,MBs,BHc,N,-0.3,,,treed bog,1,,,,
1981,38,A,198138A,4,forested,bog,forested bog,0,1099,124,19,133.5,9,2.1972245773,U,2,0.082,9.7,0.074,3,1,Peat,0.0389,F,4.8,BO,MBs,BHc,N,-0.3,,,open bog,1,,,,
1981,38,A,198138A,4,forested,bog,forested bog,0,1100,143,13,149.5,10,2.302585093,U,2,0.069,8.2,0.0633,3,2,Peat,0.0333,F,5,BO,MBs,BHc,N,-0.3,,,open bog,1,,,,
