ID,X,Y,YEAR,SITE,UID,NUTRIENTS,PRIM_CLASS,SEC_CLASS,PROV,Ecozone,LATN,LONGW,ECPROV,ECREGION,WETREGION,PEATDEPTH,WTDEPTH,WETTYPE,CWFIS_date,YEAR,MONTH,DAY,SampleDate,Card_Date_Notes,stackID,out_dc,dc_class,ECOPROV
38,-1245206.119,851858.3059,1981,19,1981-19,1,basin_bog,open,AB,,54.93,-115.13,CD,SCb,BHc,152,-14,bog,dc810628,81,06,28,1981-06-28,,270,229,2,Boreal Foothills
7,-1320799.138,592984.9113,1981,3,Mar-81,1,northern plateau,margin,AB,,52.47,-115,CD,SCb,BMc,418,-12,bog,dc810604,81,06,04,1981-06-04,,246,128,1,Boreal Foothills
29,-1304569.794,1007096.116,1981,14,1981-14,,basin_bog,treed_conif,AB,,56.1,-116.85,BO,LBs,BMc,235,-45,bog,dc810624,81,06,24,1981-06-24,,266,283,2,Central Boreal Plains
60,-1214312.582,985239.2631,1981,38,1981-38,,basin_bog,treed_conif,AB,,56.18,-115.33,BO,MBs,BHc,201,-31,bog,dc810721,81,07,21,1981-07-21,,293,379,3,Central Boreal Plains
75,-1268084.307,953900.9922,1981,48,1981-48,,basin_bog,treed_conif,AB,,55.75,-116,BO,MBs,BMc,204,-27,bog,dc810729,81,07,29,1981-07-29,,301,346,3,Central Boreal Plains
241,-424300.4783,404734.5306,1983,53,1983-53,,basin_bog,treed_conif,MB,,52.47,-101.33,BO,MBs,BMt,330,-45,bog,dc830813,83,08,13,1983-08-13,,678,236,2,Central Boreal Plains
245,-412948.214,304081.0496,1983,57,1983-57,,basin_bog,treed_conif,MB,,51.57,-101.02,BO,MBs,BMc,270,-61,bog,dc830815,83,08,15,1983-08-15,,680,323,3,Central Boreal Plains
290,-705399.1139,604770.9946,1984,38,1984-38,,basin_bog,treed_conif,SK,,53.93,-105.97,BO,MBs,BMc,55,-33,bog,dc840628,84,06,28,1984-06-28,,813,186,1,Central Boreal Plains
53,-1034689.764,799437.1562,1981,32,1981-32,,flat,treed_hardw,AB,,55.02,-111.68,BO,MBs,BHc,251,-39,bog,dc810711,81,07,11,1981-07-11,,283,343,3,Central Boreal Plains
56,-1074786.604,765061.9564,1981,34,1981-34,,peat plateau,mound,AB,,54.62,-112.15,BO,LBs,BMc,246,-66,bog,dc810712,81,07,12,1981-07-12,and 11 jul 1981 for Ok type at white birch grass swamp,284,323,3,Central Boreal Plains
51,-1056723.855,799756.4855,1981,30,1981-30,1,basin_bog,shrub,AB,,54.97,-112.02,BO,MBs,BMc,331,-33,bog,dc810710,81,07,10,1981-07-10,,282,323,3,Central Boreal Plains
59,-1119607.145,758384.0673,1981,37,1981-37,1,basin_bog,treed_conif,AB,,54.45,-112.8,BO,LBs,BMc,219,-43,bog,dc810714,81,07,14,1981-07-14,,286,291,2,Central Boreal Plains
243,-416306.917,410571.4628,1983,55,1983-55,1,basin_bog,treed_conif,MB,,52.53,-101.22,BO,MBs,BMt,304,-52,bog,dc830814,83,08,14,1983-08-14,,679,244,2,Central Boreal Plains
251,-511704.6102,403296.2471,1984,3,Mar-84,1,basin_bog,treed_conif,SK,,52.37,-102.62,BO,MBs,BMt,207,-31,bog,dc840608,84,06,08,1984-06-08,,793,109,1,Central Boreal Plains
274,-625391.9018,555072.3432,1984,25,1984-25,1,basin_bog,treed_conif,SK,,53.6,-104.63,BO,LBs,BMc,152,-42,bog,dc840620,84,06,20,1984-06-20,,805,134,1,Central Boreal Plains
284,-691238.4729,660067.2807,1984,33,1984-33,1,basin_bog,treed_conif,SK,,54.45,-105.9,BO,MBs,BMc,221,-22,bog,dc840625,84,06,25,1984-06-25,,810,156,1,Central Boreal Plains
304,-618064.5395,686808.3577,1984,48,1984-48,1,basin_bog,treed_conif,SK,,54.8,-104.83,BO,MBs,BHc,156,-29,bog,dc840719,84,07,19,1984-07-19,,834,259,2,Central Boreal Plains
311,-642332.8595,710586.9716,1984,55,1984-55,1,basin_bog,treed_conif,SK,,54.98,-105.27,BO,HBs,BHc,184,-26,bog,dc840723,84,07,23,1984-07-23,,838,233,2,Central Boreal Plains
312,-817294.1838,663843.7745,1984,56,1984-56,1,basin_bog,treed_conif,SK,,54.27,-107.85,BO,LBs,BMc,220,-34,bog,dc840802,84,08,02,1984-08-02,,848,356,3,Central Boreal Plains
