CORE_ID,SOURCE_SITEID,SOURCE_SUB,LATITUDE,LONGITUDE,LOC_SOURCE_FORMAT,LOC_ACCURACY_NOTES,PROV_TERR,SAMPLING_YR,SAMPLING_MONTH,SAMPLING_DATE,SAMPLING_ST,CSSC_CODE,CSSC_ORDER,CSSC_GREAT_GROUP,CSSC_GGSG,ORG_DEPTH,BASE_Y_N,BASE_RSR,PERC_BD_MEAS,PERC_C_MEAS,PERMAFROST,ACTIVE_DPT,WT_DEPTH,ORG_C_MGHA,CWCS_CLASS,FEN_TYPE,CWCS_FORM,CWCS_TYPE,TREED,CORE_POSITION,DISTURBANCE,MICROFORM,OTHER_DESC,VEGETATION
383,Z-1983-8,Z-1983-8-A,49.65,-96.32,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",MB,1983,8,16,ZMX,,,,,249,Y,,100,0,N,,15,1734.8,fen,moderately rich,basin,treed : coniferous,Y,,,,treed island,Larix laricina; Betula pumila; Cornus sericea; Picea mariana; Amelanchier alnifolia; Lonicera oblongifolia; Viburnum lentago; Betula papyrifera; Dasiphora fruticosa; Rhamnus alnifolia; Lonicera villosa; Salix candida; Rosa acicularis; Salix bebbiana; Rhododendron groenlandicum; Salix pedicellaris; Carex diandra; Maianthemum trifolium; Phragmites australis; Carex interior; Carex gynocrates; Rubus pubescens; Rubus arcticus; Equisetum fluviatile; Galium labradoricum; Muhlenbergia glomerata; Typha latifolia; Carex leptalea; Cypripedium reginae; Calamagrostis stricta; Cirsium muticum; Solidago canadensis; Comarum palustre; Lysimachia thyrsiflora; Campanula aparinoides; Pyrola asarifolia; Aulacomnium palustre; Tomentypnum nitens; Campylium stellatum; Hypnum lindbergii; Sphagnum fuscum
384,Z-1983-8,Z-1983-8-B,49.65,-96.32,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",MB,1983,8,16,ZMX,,,,,238,Y,,100,0,N,,-5,1549.8,fen,moderately rich,basin,moss : brown,N,,,,,Larix laricina; Betula pumila; Dasiphora fruticosa; Lonicera oblongifolia; Salix candida; Salix pedicellaris; Carex lasiocarpa; Carex livida; Carex chordorrhiza; Carex interior; Eleocharis palustris; Menyanthes trifoliata; Equisetum fluviatile; Eriophorum gracile; Utricularia intermedia; Carex limosa; Eriophorum angustifolium; Eriophorum chamissonis; Trichophorum alpinum; Parnassia palustris; Calamagrostis stricta; Potamogeton gramineus; Sarracenia purpurea; Galium labradoricum; Symphyotrichum boreale; Triglochin maritima; Trichophorum cespitosum; Pedicularis lanceolata; Scorpidium scorpioides; Scorpidium revolvens; Campylium stellatum; Bryum pseudotriquetrum
385,Z-1983-9,Z-1983-9,49.65,-96.1,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",MB,1983,8,16,ZMX,,,,,109,Y,,100,0,N,,10,851.3,fen,moderately rich,horizontal,treed : coniferous,Y,,,,,Larix laricina; Betula pumila; Salix bebbiana; Lonicera oblongifolia; Lonicera villosa; Rhododendron groenlandicum; Ribes glandulosum; Carex leptalea; Carex tenuiflora; Rubus arcticus; Carex interior; Poa palustris; Linnaea borealis; Mitella nuda; Stellaria longifolia; Rubus pubescens; Galium triflorum; Lysimachia thyrsiflora; Galium labradoricum; Dryopteris cristata; Orthilia secunda; Trientalis borealis; Caltha palustris; Equisetum palustre; Maianthemum trifolium; Iris versicolor; Comarum palustre; Impatiens capensis; Botrychium virginianum; Pleurozium schreberi; Aulacomnium palustre; Bryum pseudotriquetrum; Climacium dendroides; Plagiomnium ellipticum; Plagiomnium medium; Thuidium delicatulum; Sphagnum fuscum; Fissidens adianthoides; Ceratodon purpureus; Marchantia polymorpha; Amblystegium serpens; Tomentypnum nitens; Myurella julacea; Polytrichum strictum; Dicranum polysetum; Dicranum undulatum; Ptilidium ciliare; Plagiothecium denticulatum
386,Z-1983-10,Z-1983-10,49.87,-95.63,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",MB,1983,6,15,ZMX,,,,,273,Y,,100,8.1,N,,31,1667.1,bog,,basin,treed : coniferous,Y,,,,,Picea mariana; Pinus banksiana; Rhododendron groenlandicum; Chamaedaphne calyculata; Kalmia polifolia; Vaccinium vitis-idaea; Maianthemum trifolium; Vaccinium oxycoccos; Eriophorum vaginatum; Sphagnum fuscum; Pleurozium schreberi; Sphagnum angustifolium; Polytrichum strictum; Sphagnum nemoreum; Aulacomnium palustre; Sphagnum magellanicum; Dicranum polysetum; Dicranum undulatum; Bryum pseudotriquetrum; Ptilidium ciliare; Ptilidium pulcherrimum; Mylia anomala; Ptilium crista-castrensis; Cephalozia connivens; Calypogeia sphagnicola; Cladina mitis; Cladonia rangiferina; Cladonia gracilis
387,Z-1983-11,Z-1983-11,49.82,-95.3,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",MB,1983,6,15,ZMX,,,,,505,Y,,100,3,N,,18,1991,bog,,basin,treed : coniferous,Y,,,,,Picea mariana; Larix laricina; Betula pumila; Rhododendron groenlandicum; Chamaedaphne calyculata; Salix pedicellaris; Kalmia polifolia; Andromeda; Vaccinium angustifolium; Maianthemum trifolium; Vaccinium oxycoccos; Carex chordorrhiza; Carex lasiocarpa; Carex aquatilis; Carex tenuiflora; Carex magellanica; Listera cordata; Corallorhiza trifida; Drosera rotundifolia; Equisetum fluviatile; Pyrola asarifolia; Comarum palustre; Sphagnum angustifolium; Sphagnum magellanicum; Pleurozium schreberi; Sphagnum fuscum; Polytrichum strictum; Aulacomnium palustre; Bryum pseudotriquetrum; Dicranum polysetum; Dicranum undulatum; Tomentypnum nitens; Brachythecium sp.; Warnstorfia fluitans; Ptilidium pulcherrimum; Scapania uliginosa; Lepidozia reptans; Pohlia nutans; Geocalyx graveolens
388,Z-1983-12,Z-1983-12-A,49.4,-95.37,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",MB,1983,6,23,ZMX,,,,,335,Y,,100,4.5,N,,6,1269.8,bog,,domed,treed : coniferous,Y,center,,,,Picea mariana; Larix laricina; Chamaedaphne calyculata; Kalmia polifolia; Rhododendron groenlandicum; Andromeda; Maianthemum trifolium; Vaccinium oxycoccos; Eriophorum vaginatum; Sarracenia purpurea; Drosera rotundifolia; Carex pauciflora; Vaccinium vitis-idaea; Sphagnum angustifolium; Sphagnum fuscum; Sphagnum magellanicum; Pleurozium schreberi; Polytrichum strictum; Aulacomnium palustre; Bryum pseudotriquetrum; Dicranum undulatum; Cladina mitis
389,Z-1983-12,Z-1983-12-B,49.4,-95.37,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",MB,1983,6,23,ZMX,,,,,370,Y,,100,0,N,,28,1112.3,bog,,domed,shrub : low,N,"edge, margin, or rim",,,,Picea mariana; Larix laricina; Chamaedaphne calyculata; Kalmia polifolia; Andromeda; Eriophorum vaginatum; Vaccinium oxycoccos; Carex lasiocarpa; Maianthemum trifolium; Drosera rotundifolia; Sarracenia purpurea; Carex pauciflora; Sphagnum fuscum; Sphagnum angustifolium; Sphagnum papillosum; Sphagnum warnstorfii; Polytrichum strictum; Sphagnum magellanicum; Aulacomnium palustre; Mylia anomala; Cladopodiella fluitans; Scapania uliginosa
390,Z-1983-12,Z-1983-12-C,49.4,-95.37,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",MB,1983,6,23,ZMX,,,,,346,Y,,51.7,0,N,,16,2818.7,fen,poor,,graminoid : sedge,N,,,,drainage,Carex lasiocarpa; Carex chordorrhiza; Rhynchospora capillacea; Utricularia intermedia; Carex limosa; Drosera anglica; Carex livida; Equisetum fluviatile; Menyanthes trifoliata; Eleocharis tenuis; Scheuchzeria palustris; Sarracenia purpurea; Utricularia minor; Sphagnum contortum; Sphagnum subsecundum; Sphagnum jensenii; Scorpidium scorpioides
391,Z-1983-13,Z-1983-13-A,49.43,-95.47,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",MB,1983,6,24,ZMX,,,,,170,Y,,100,0,N,,33,886.8,fen,poor,string : northern ribbed,treed : coniferous,Y,,,string,,Larix laricina; Alnus alnobetula; Betula pumila; Chamaedaphne calyculata; Lonicera villosa; Andromeda; Salix pedicellaris; Rhamnus alnifolia; Carex lasiocarpa; Carex interior; Thelypteris palustris; Equisetum fluviatile; Eriophorum angustifolium; Phragmites australis; Carex tenuiflora; Rubus arcticus; Viola renifolia; Comarum palustre; Sarracenia purpurea; Eriophorum chamissonis; Eriophorum gracile; Lysimachia thyrsiflora; Galium labradoricum; Pedicularis lanceolata; Arethusa bulbosa; Trientalis borealis; Vaccinium oxycoccos; Drosera rotundifolia; Sphagnum warnstorfii; Sphagnum subsecundum; Dicranum undulatum; Sphagnum magellanicum; Campylium stellatum; Sphagnum fuscum; Polytrichum strictum; Aulacomnium palustre; Calliergonella cuspidata; Pleurozium schreberi; Anomodon minor; Callicladium haldanianum
392,Z-1983-13,Z-1983-13-B,49.43,-95.47,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",MB,1983,6,24,ZMX,,,,,127,Y,,100,12.6,N,,-9,750.6,fen,poor,string : northern ribbed,graminoid : sedge,N,,,flark,,Andromeda; Chamaedaphne calyculata; Carex lasiocarpa; Carex buxbaumii; Utricularia intermedia; Carex chordorrhiza; Carex limosa; Carex livida; Eleocharis tenuis; Menyanthes trifoliata; Scheuchzeria palustris; Equisetum fluviatile; Utricularia minor; Eriophorum gracile; Sarracenia purpurea; Drosera anglica; Eriophorum angustifolium; Triglochin maritima; Calamagrostis stricta; Potamogeton gramineus; Trichophorum alpinum; Campylium stellatum; Sphagnum subsecundum; Scorpidium scorpioides
